vendor_id,vendor_name,vendor_description,business_domain,thumbnail_profile,email,password,phone_number,is_verified
12,GreenPlanetCo.,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,Nonprofit,https://m.media-amazon.com/images/greenplanetco.,green@abc.com,yfZQ9AmP0,09989831429,1
13,MindfulMovements,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,Telecommunications,https://m.media-amazon.com/images/mindfulmovements,mindf@hotmail.com,Phjn87yek4K,09352293168,0
14,JoyfulHomeCo.,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,Energy,https://m.media-amazon.com/images/joyfulhomeco.,joyfu@abc.com,M17wAjd3Oz,09943970175,1
15,NourishingNibbles,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,HealthCare,https://m.media-amazon.com/images/nourishingnibbles,nouri@gmail.com,v4sr1B,09724092521,1
16,SereneSpacesCo.,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,Transportation,https://m.media-amazon.com/images/serenespacesco.,seren@gmail.com,tesYLrkahe,09136965138,0
17,PurelyPamperedCo.,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,Energy,https://m.media-amazon.com/images/purelypamperedco.,purel@xyz.com,rigiuQD8I,09628172294,0
18,HealthyHabitsCo.,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,Entertainment,https://m.media-amazon.com/images/healthyhabitsco.,healt@xyz.com,0oAALgRffu7,09797352035,1
19,OrganicOasisCo.,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,Telecommunications,https://m.media-amazon.com/images/organicoasisco.,organ@abc.com,GftW0a,09841982705,0
20,SerenityNowCo.,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,Manufacturing,https://m.media-amazon.com/images/serenitynowco.,seren@abc.com,2RFiE4QBtm,09202087938,1
21,EarthyEatsCo.,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,Energy,https://m.media-amazon.com/images/earthyeatsco.,earth@yahoo.com,1B86QqGOR2bo,09462132949,1
22,MindfulMarket,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,Manufacturing,https://m.media-amazon.com/images/mindfulmarket,mindf@hotmail.com,tA8qgpA,09142615973,1
23,FreshFindsCo.,rhoncus dui vel sem sed sagittis nam congue risus semper porta,Construction,https://m.media-amazon.com/images/freshfindsco.,fresh@hotmail.com,Ob7VOmH7Rh4,09853383328,0
24,LuxeLifestylesCo.,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,HealthCare,https://m.media-amazon.com/images/luxelifestylesco.,luxel@abc.com,yztmHJGX,09473968540,1
25,NaturalNurtures,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,Education,https://m.media-amazon.com/images/naturalnurtures,natur@gmail.com,AnPJOEjzfJ,09329642590,0
26,BlissfulBeingCo.,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,Real estate,https://m.media-amazon.com/images/blissfulbeingco.,bliss@gmail.com,5sDdAykQhpQE,09567019576,0
27,SustainableSupplyCo.,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,Retail,https://m.media-amazon.com/images/sustainablesupplyco.,susta@xyz.com,DmFx6pFb,09711547904,0
28,VitalityVisions,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,Nonprofit,https://m.media-amazon.com/images/vitalityvisions,vital@hotmail.com,uL6HCoD0pGJ,09512741325,1
29,Earth'sElementCo.,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,Hospitality,https://m.media-amazon.com/images/earth'selementco.,earth@xyz.com,asAQqSM,09610332132,0
30,PurelyPlant-Based,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,HealthCare,https://m.media-amazon.com/images/purelyplant-based,purel@yahoo.com,KZXYYqSJZcoI,09891667637,1
31,TheMindfulMerchant,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,Finance,https://m.media-amazon.com/images/themindfulmerchant,themi@gmail.com,NrQKZ2r9,09871625346,1
32,EarthyEssentialsCo.,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,Retail,https://m.media-amazon.com/images/earthyessentialsco.,earth@xyz.com,hDnQa1WdX7k3,09527280955,1
33,HarmonyHealthCo.,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,Construction,https://m.media-amazon.com/images/harmonyhealthco.,harmo@abc.com,Oc7QmB5n,09810066613,0
34,Nature'sNecessities,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,Nonprofit,https://m.media-amazon.com/images/nature'snecessities,natur@hotmail.com,ALMDsYLx,09458351868,1
35,CleanLivingCo.,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,Transportation,https://m.media-amazon.com/images/cleanlivingco.,clean@yahoo.com,Y8Y8LbZ6WZlF,09837154261,0
36,GratefulGoodsCo.,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,Nonprofit,https://m.media-amazon.com/images/gratefulgoodsco.,grate@hotmail.com,dpSF2icZJL,09651061110,0
37,HappyHomeCo.,bibendum morbi non quam nec dui luctus rutrum nulla tellus,Finance,https://m.media-amazon.com/images/happyhomeco.,happy@gmail.com,E6GK1vB094,09843234646,1
38,MindfulMorsels,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,Retail,https://m.media-amazon.com/images/mindfulmorsels,mindf@abc.com,1iJjCwuCXb,09199776160,1
39,Nature'sNurtureCo.,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,Energy,https://m.media-amazon.com/images/nature'snurtureco.,natur@xyz.com,YigvBw,09729082153,1
40,PureandSimpleCo.,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut,Energy,https://m.media-amazon.com/images/pureandsimpleco.,purea@hotmail.com,hWaQCyIi,09247457413,1
41,RefreshedRoots,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,HealthCare,https://m.media-amazon.com/images/refreshedroots,refre@gmail.com,upjLNXUXVOSE,09683878006,1
42,TheNaturalNest,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,Real estate,https://m.media-amazon.com/images/thenaturalnest,thena@abc.com,XC8IZtXn1Pso,09968707433,0
43,WholesomeWondersCo.,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,Nonprofit,https://m.media-amazon.com/images/wholesomewondersco.,whole@hotmail.com,GjEajh6,09491839481,0
44,GardenGurus,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,Manufacturing,https://m.media-amazon.com/images/gardengurus,garde@abc.com,OBwZJ6RyIUFi,09865396166,0
45,MindfulMuseCo.,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,Finance,https://m.media-amazon.com/images/mindfulmuseco.,mindf@yahoo.com,26zdzEMYhW,09988130248,0
46,Nature'sNectarCo.,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,Energy,https://m.media-amazon.com/images/nature'snectarco.,natur@gmail.com,vHeiXxjy,09205596592,1
47,PureLivingCo.,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit,HealthCare,https://m.media-amazon.com/images/purelivingco.,purel@gmail.com,FWylTkM,09921407506,1
48,SoothingSerenityCo.,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in,Retail,https://m.media-amazon.com/images/soothingserenityco.,sooth@yahoo.com,kP7YHx7k,09309316541,0
49,DreamHomeDecor,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,Agriculture,https://m.media-amazon.com/images/dreamhomedecor,dream@abc.com,tbF1vch0C,09562405848,1
50,EliteOutdoorGear,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,Energy,https://m.media-amazon.com/images/eliteoutdoorgear,elite@gmail.com,CD73bZ,09231341862,1
51,FashionistaWear,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,Education,https://m.media-amazon.com/images/fashionistawear,fashi@abc.com,DvsoZmdqW,09498855220,1
52,GourmetDelights,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,Transportation,https://m.media-amazon.com/images/gourmetdelights,gourm@hotmail.com,t4q5jk8pZ,09683605783,1
53,HappyPetSupply,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,Retail,https://m.media-amazon.com/images/happypetsupply,happy@xyz.com,tzGYtILWd,09101879021,0
54,InnovativeTechToys,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,Nonprofit,https://m.media-amazon.com/images/innovativetechtoys,innov@gmail.com,hZs12LJ,09362122070,0
55,JustKidsFurniture,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,Education,https://m.media-amazon.com/images/justkidsfurniture,justk@hotmail.com,jIgcIuA4cyVX,09639479867,0
56,LuxeJewelryCo,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,Entertainment,https://m.media-amazon.com/images/luxejewelryco,luxej@gmail.com,gxVM2lDqr,09720983026,0
57,ModernHomeEssentials,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,Transportation,https://m.media-amazon.com/images/modernhomeessentials,moder@yahoo.com,QdiHTA,09552014075,0
58,NatureLoversMarket,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,Real estate,https://m.media-amazon.com/images/natureloversmarket,natur@xyz.com,ixnLxC,09956605210,1
59,LuckyDay,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,Transportation,https://m.media-amazon.com/images/luckyday,lucky@xyz.com,pX5YICWsvx,09222471391,1
60,TastyTreats,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,Real estate,https://m.media-amazon.com/images/tastytreats,tasty@yahoo.com,V3dlbyMnB5LN,09206748724,0
61,LuxeLiving,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,Entertainment,https://m.media-amazon.com/images/luxeliving,luxel@yahoo.com,LeqDguqTZYM,09752256867,1
62,HappyHome,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,Construction,https://m.media-amazon.com/images/happyhome,happy@hotmail.com,UEMqrX6LrJp,09622342127,1
63,TechZone,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,HealthCare,https://m.media-amazon.com/images/techzone,techz@hotmail.com,eqY4giEn,09548930633,1
64,ChicWear,in hac habitasse platea dictumst etiam faucibus cursus urna ut,Construction,https://m.media-amazon.com/images/chicwear,chicw@gmail.com,F9jFfBSq,09366383448,1
65,UrbanAcessories,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,Agriculture,https://m.media-amazon.com/images/urbanacessories,urban@abc.com,ca2zc9w4DpG,09505469426,1
66,CoolCrafts,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,Energy,https://m.media-amazon.com/images/coolcrafts,coolc@gmail.com,WNotsZT7b,09827784034,0
67,CleanSweep,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,Energy,https://m.media-amazon.com/images/cleansweep,clean@abc.com,j92nilhzxD6,09287107097,1
68,BrightBites,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,Nonprofit,https://m.media-amazon.com/images/brightbites,brigh@xyz.com,X7tGOIW0It,09692670869,1
69,SuperSavings,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante,Agriculture,https://m.media-amazon.com/images/supersavings,super@yahoo.com,uYrdgfF,09979287512,0
70,SmartSoultions,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,"Information technology",https://m.media-amazon.com/images/smartsoultions,smart@hotmail.com,NiR1xqbt,09189116097,0
71,AceAuto,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,Nonprofit,https://m.media-amazon.com/images/aceauto,aceau@hotmail.com,lks0o72295s,09302881424,1
72,GreatGear,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,Entertainment,https://m.media-amazon.com/images/greatgear,great@gmail.com,gporYSDjF,09550336113,1
73,QualityQuilts,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,Entertainment,https://m.media-amazon.com/images/qualityquilts,quali@gmail.com,pxGk7QeWc,09386303885,1
74,HeavenlyHolidays,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,Hospitality,https://m.media-amazon.com/images/heavenlyholidays,heave@gmail.com,9Q49ozBA,09526978823,0
75,SimplySavvy,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,"Information technology",https://m.media-amazon.com/images/simplysavvy,simpl@abc.com,vHTA3Z0sra,09340803396,0
76,OutdoorAdventures,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,Nonprofit,https://m.media-amazon.com/images/outdooradventures,outdo@xyz.com,elBsSZ3eTp,09411132448,1
77,ClassyCandles,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,Education,https://m.media-amazon.com/images/classycandles,class@hotmail.com,Yq3qz0BUQ,09208826792,1
78,PurePlay,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,Agriculture,https://m.media-amazon.com/images/pureplay,purep@yahoo.com,9qHzZJGL,09917152316,1
79,DreamDecor,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,Finance,https://m.media-amazon.com/images/dreamdecor,dream@hotmail.com,1CjskLcHL,09916406324,1
80,CreativeCraze,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,Construction,https://m.media-amazon.com/images/creativecraze,creat@xyz.com,gEwfAvJE,09540375417,0
81,DynamicDeals,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,Construction,https://m.media-amazon.com/images/dynamicdeals,dynam@gmail.com,cAKm3q4,09130937207,1
82,InspiredInteriors,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,Education,https://m.media-amazon.com/images/inspiredinteriors,inspi@hotmail.com,iafgHL8k35,09791407619,0
83,PicturePerfect,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,HealthCare,https://m.media-amazon.com/images/pictureperfect,pictu@yahoo.com,lrA9iWKRzCk,09304053763,1
84,BestBargains,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,"Information technology",https://m.media-amazon.com/images/bestbargains,bestb@hotmail.com,OsZ6w2q,09877114822,1
85,OceanOasis,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,Energy,https://m.media-amazon.com/images/oceanoasis,ocean@hotmail.com,MoChq5U,09615664607,0
86,PerfectPicks,sit amet erat nulla tempus vivamus in felis eu sapien,Energy,https://m.media-amazon.com/images/perfectpicks,perfe@gmail.com,4s8GLTa,09379983618,1
87,NewHorizons,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,Finance,https://m.media-amazon.com/images/newhorizons,newho@xyz.com,6TDEtvDEoWI,09756234612,0
88,LuxuryLoot,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,Finance,https://m.media-amazon.com/images/luxuryloot,luxur@yahoo.com,TAKnDhzJ,09324451623,1
89,StyleSavent,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,Telecommunications,https://m.media-amazon.com/images/stylesavent,style@gmail.com,FQ876zhY,09418324879,1
90,TimelessTreasures,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,Retail,https://m.media-amazon.com/images/timelesstreasures,timel@yahoo.com,u510oUx3,09625526037,1
91,WildeWest,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,Hospitality,https://m.media-amazon.com/images/wildewest,wilde@abc.com,4Y8PDMSr,09270008030,1
92,ZenZone,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,Education,https://m.media-amazon.com/images/zenzone,zenzo@abc.com,DHtaKxqTj,09993948173,1
93,CraftyCorner,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,Manufacturing,https://m.media-amazon.com/images/craftycorner,craft@yahoo.com,DxWcay0Wy,09958410573,1
94,EliteEssentials,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,Agriculture,https://m.media-amazon.com/images/eliteessentials,elite@abc.com,RAKAvN,09339829830,1
95,CleanCuisine,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec,Finance,https://m.media-amazon.com/images/cleancuisine,clean@yahoo.com,DxPnbmQEeEn,09224209533,0
96,LittleLambs,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,Education,https://m.media-amazon.com/images/littlelambs,littl@abc.com,PnOapwI,09828646355,1
97,SereneSpaces,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,Real estate,https://m.media-amazon.com/images/serenespaces,seren@abc.com,OhS57nPxfB,09581897517,0
98,PrimeParty,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,Education,https://m.media-amazon.com/images/primeparty,prime@yahoo.com,amKW1w9Cy,09919354745,1
