vendor_address_id,first_name,last_name,street,city,zipcode,country,homephone,vendor_id
126,Brooklynn,Madelyn,Shelton,CT,6484,USA,+805-929-4764,69
127,Samantha,Eleanor,Southington,CT,6489,USA,+708-622-2557,25
128,Ella,Nova,Stratford,CT,6614,USA,+303-533-7862,124
129,Emma,Zoey,Torrington,CT,6790,USA,+710-405-1451,35
130,Samantha,Violet,Wallingford,CT,6492,USA,+317-494-8770,48
131,Isabella,Camila,Waterbury,CT,6705,USA,+800-161-1527,195
132,Grayson,Arianna,Waterford,CT,6385,USA,+813-101-2381,57
133,Carter,Eli,West Haven,CT,6516,USA,+503-637-4326,110
134,Aurora,Grace,Adamsville,AL,35005,USA,+915-286-9410,185
135,Mila,Nevaeh,Alabaster,AL,35007,USA,+518-311-3310,120
136,Dodo,Dodo,Alexander City,AL,35010,USA,+201-485-9631,90
137,Stella,Aubrey,Andalusia,AL,36420,USA,+607-364-1110,63
138,Ella,Noah,Anniston,AL,36206,USA,+303-491-3525,145
139,Nora,Lydia,Arab,AL,35016,USA,+203-344-6156,52
140,Elizabeth,Mila,Athens,AL,35611,USA,+216-382-2968,182
141,Chloe,Hazel,Attalla,AL,35954,USA,+514-707-3412,193
142,Nova,Lincoln,Auburn,AL,36830,USA,+805-798-7902,11
143,Zoey,Bailey,Bay Minette,AL,36507,USA,+318-617-6861,9
144,Blake,Nova,Bessemer,AL,35022,USA,+611-281-8097,110
145,Zoe,Autumn,Birmingham,AL,35209,USA,+803-946-5119,171
146,Zoe,Maya,Birmingham,AL,35210,USA,+807-839-1934,111
147,Brooklyn,Raelynn,Birmingham,AL,35235,USA,+708-314-3365,31
148,Arianna,Madison,Birmingham,AL,35206,USA,+402-159-5835,170
149,Audrey,Kinsley,Boaz,AL,35957,USA,+903-675-7577,151
150,Sofia,Hazel,Brent,AL,35034,USA,+910-919-2352,130
151,Gianna,Madelyn,Brewton,AL,36426,USA,+301-499-4401,181
152,Logan,Alice,Calera,AL,35040,USA,+204-919-9729,142
153,Mia,Avery,Center Point,AL,35215,USA,+507-770-4590,48
154,Paisley,Gianna,Centre,AL,35960,USA,+517-272-3821,182
155,Lila,Lucas,Chelsea,AL,35043,USA,+906-222-3652,36
156,Lincoln,Eleanor,Clanton,AL,35045,USA,+714-438-3879,10
157,Zoey,Madison,Cullman,AL,35055,USA,+703-937-2603,169
158,Ella,Genesis,Daphne,AL,36526,USA,+611-881-1757,130
159,Grayson,Zoey,Decatur,AL,35603,USA,+901-518-7702,134
160,Charlotte,Everly,Demopolis,AL,36732,USA,+300-290-2351,156
161,Sadie,Everly,Dothan,AL,36301,USA,+817-891-8955,105
162,Camila,Ellie,Dothan,AL,36303,USA,+112-857-4498,67
163,Leah,Aiden,Enterprise,AL,36330,USA,+412-187-8500,53
164,Ava,Bella,Eufaula,AL,36027,USA,+209-296-1420,87
165,Liam,Nathan,Fairfield,AL,35064,USA,+112-686-1624,194
166,Maya,Samantha,Fairhope,AL,36533,USA,+902-551-2090,46
167,Leah,Addison,Fayette,AL,35555,USA,+411-710-9013,191
168,Ava,Easton,Florence,AL,35630,USA,+800-929-1460,153
169,Hazel,Samantha,Foley,AL,36535,USA,+211-549-8499,46
170,Tomas,Tomas,Fort Payne,AL,35968,USA,+200-366-9280,146
171,Nova,Mason,Gadsden,AL,35903,USA,+301-465-8173,9
172,Elizabeth,Naomi,Gardendale,AL,35071,USA,+902-555-1708,16
173,Lily,Lydia,Geneva,AL,36340,USA,+918-833-5797,86
174,Emma,Violet,Greenville,AL,36037,USA,+907-815-1005,72
175,Lucas,Nathan,Gulf Shores,AL,36542,USA,+807-912-2282,113
176,Abigail,Ezra,Guntersville,AL,35976,USA,+506-776-7279,165
177,Aubrey,Piper,Haleyville,AL,35565,USA,+500-349-4904,129
178,Jackson,Elizabeth,Hamilton,AL,35570,USA,+710-441-6555,86
179,Paisley,Ethan,Hartselle,AL,35640,USA,+805-388-6539,143
180,Cora,Xavier,Homewood,AL,35209,USA,+709-622-3773,85
